,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,value_units
85,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Switzerland,CHE,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",55473.48335419056,kt CO2e
86,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Türkiye,TUR,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",227104.9436535334,kt CO2e
87,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Ukraine,UKR,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",856026.4423292171,kt CO2e
88,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,United Kingdom of Great Britain and Northern Ireland,GBR,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",805857.2139716067,kt CO2e
89,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,United States of America,USA,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",6382938.92165308,kt CO2e
90,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Australia,AUS,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",429473.08467973064,kt CO2e
91,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Austria,AUT,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",75464.12166419617,kt CO2e
92,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Belarus,BLR,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",126498.17957271497,kt CO2e
93,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Belgium,BEL,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",148007.1942615125,kt CO2e
94,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Bulgaria,BGR,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",74601.94973316474,kt CO2e
95,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Canada,CAN,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",605290.2488198037,kt CO2e
96,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Croatia,HRV,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",22794.323192463333,kt CO2e
97,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Cyprus,CYP,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",6523.432483462731,kt CO2e
98,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Czechia,CZE,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",173319.61501489265,kt CO2e
